Program_studi,Application_mode,Course,Daytime_evening_attendance,Previous_qualification_grade,Admission_grade,Displaced,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Probabilitas_dropout,Level_risiko
Veterinary Nursing,53,9085,1,140.0,140.0,1,1,1,0,0,21,9,10,8,13.25,9,14,5,12.2,0.7862,Tinggi
Management,17,9147,1,130.0,117.8,1,0,1,1,0,20,5,8,3,11.0,5,11,3,12.0,0.7859,Tinggi
Informatics Engineering,39,9119,1,130.0,149.0,1,0,1,1,0,33,5,10,4,12.0,5,8,3,13.666666666666666,0.7836,Tinggi
Informatics Engineering,44,9119,1,160.0,160.0,0,1,1,1,0,41,7,15,5,14.333333333333334,6,16,6,14.636363636363637,0.7821,Tinggi
Tourism,1,9254,1,121.0,125.9,1,0,1,0,0,22,6,10,4,10.0,6,12,2,13.5,0.7807,Tinggi
Veterinary Nursing,53,9085,1,140.0,144.9,1,1,0,0,0,23,11,18,11,13.166666666666666,9,15,8,13.333333333333334,0.7794,Tinggi
Agronomy,44,9003,1,150.0,150.0,0,0,1,1,0,22,6,12,3,13.333333333333334,6,12,3,12.75,0.7784,Tinggi
Informatics Engineering,17,9119,1,135.0,126.6,1,0,1,1,0,18,5,7,4,12.0,5,10,3,13.0,0.7765,Tinggi
Animation and Multimedia Design,1,171,1,135.0,143.8,1,1,1,0,0,19,0,0,0,0.0,0,0,0,0.0,0.7745,Tinggi
Basic Education,43,9853,1,118.0,110.0,1,0,1,0,0,20,6,10,4,12.25,6,8,4,11.5,0.7741,Tinggi
Journalism and Communication,1,9773,1,140.0,133.4,1,0,0,1,0,29,6,8,6,16.5,6,6,5,13.8,0.7733,Tinggi
Agronomy,44,9003,1,150.0,150.0,0,0,1,1,1,20,6,18,3,12.0,6,17,3,11.666666666666666,0.7719,Tinggi
Veterinary Nursing,39,9085,1,133.1,144.9,1,0,1,0,0,26,6,11,3,11.75,6,19,4,12.8,0.7711,Tinggi
Informatics Engineering,43,9119,1,146.0,100.0,0,0,1,1,0,18,5,9,4,12.25,5,11,3,11.666666666666666,0.7709,Tinggi
Journalism and Communication,1,9773,1,117.0,109.3,0,0,1,1,0,19,6,11,4,12.25,6,10,3,12.666666666666666,0.7703,Tinggi
Nursing,39,9500,1,120.0,100.0,0,0,1,1,0,34,7,15,6,11.333333333333334,7,16,4,12.6,0.7699,Tinggi
Management (evening),39,9991,0,162.0,132.0,0,1,1,1,0,25,5,8,4,11.0,5,7,4,12.0,0.7688,Tinggi
Basic Education,1,9853,1,142.0,132.6,0,0,1,0,0,18,6,8,5,12.8,6,14,3,10.0,0.7686,Tinggi
Veterinary Nursing,1,9085,1,101.0,101.0,1,1,1,0,0,22,6,9,5,13.333333333333334,6,17,4,11.4,0.7684,Tinggi
Tourism,17,9254,1,118.0,110.3,1,0,0,0,0,18,6,7,5,12.6,6,6,5,11.8,0.7678,Tinggi
Informatics Engineering,39,9119,1,130.0,137.0,1,0,1,1,0,28,5,11,4,10.5,5,12,4,11.0,0.765,Tinggi
Management,43,9147,1,123.0,113.2,0,0,1,0,0,21,10,18,6,11.166666666666666,10,16,7,10.571428571428571,0.7644,Tinggi
Management,1,9147,1,123.0,118.8,1,0,1,0,0,21,5,9,3,10.666666666666666,5,13,2,12.5,0.7635,Tinggi
Animation and Multimedia Design,17,171,1,125.0,117.0,1,0,1,1,0,22,0,0,0,0.0,0,0,0,0.0,0.7624,Tinggi
Equinculture,44,9130,1,140.0,140.0,0,0,1,1,0,20,6,12,5,12.4,6,11,2,15.0,0.7623,Tinggi
Management,1,9147,1,120.0,122.8,1,0,1,1,0,18,5,6,4,11.5,5,12,2,10.333333333333334,0.7606,Tinggi
Management (evening),17,9991,0,154.0,134.1,0,0,1,0,0,24,5,9,2,11.5,5,11,3,14.333333333333334,0.759,Tinggi
Journalism and Communication,18,9773,1,125.0,122.2,0,0,0,0,0,18,6,7,5,12.6,6,6,5,11.8,0.7534,Tinggi
Equinculture,39,9130,1,150.0,160.0,1,0,1,1,0,24,5,13,4,13.75,5,9,3,12.0,0.7505,Tinggi
Social Service,17,9238,1,130.0,130.0,1,0,1,0,0,20,6,8,4,11.25,6,15,3,10.0,0.7495,Tinggi
Management,1,9147,1,128.0,116.5,0,0,1,0,0,18,5,9,3,11.666666666666666,5,15,2,11.0,0.7481,Tinggi
Nursing,39,9500,1,133.1,121.4,0,1,1,0,0,28,7,12,4,13.375,7,7,5,13.5,0.7465,Tinggi
Management,15,9147,1,135.0,135.0,0,1,1,1,0,21,5,9,3,12.333333333333334,5,8,4,11.25,0.7432,Tinggi
Veterinary Nursing,1,9085,1,131.0,130.7,0,1,1,0,0,21,5,9,2,11.5,5,13,4,11.0,0.7431,Tinggi
Tourism,43,9254,1,135.0,122.1,0,0,1,1,0,19,6,14,3,12.5,6,9,4,11.0,0.743,Tinggi
Equinculture,39,9130,1,130.0,110.0,0,0,1,1,0,24,6,11,6,11.333333333333334,6,12,3,11.333333333333334,0.7398,Tinggi
Tourism,1,9254,1,125.0,121.5,1,0,1,1,0,18,6,12,5,11.0,6,11,3,10.333333333333334,0.7357,Tinggi
Tourism,1,9254,1,143.0,133.2,1,0,1,0,0,19,6,9,5,13.4,6,16,2,13.5,0.7357,Tinggi
Management,17,9147,1,130.0,122.0,1,0,1,1,0,20,5,8,2,10.5,5,11,4,12.25,0.732,Tinggi
Animation and Multimedia Design,16,171,1,145.0,155.0,1,0,1,0,0,24,17,19,11,12.909090909090908,13,15,9,13.555555555555555,0.729,Tinggi
Management (evening),39,9991,0,120.0,140.0,0,0,1,0,0,25,5,11,3,10.666666666666666,5,11,3,11.333333333333334,0.7288,Tinggi
Advertising and Marketing Management,1,9670,1,117.0,111.8,0,0,1,0,0,22,5,8,3,12.0,5,9,2,11.0,0.7255,Tinggi
Animation and Multimedia Design,43,171,1,120.0,120.0,1,0,1,1,0,22,0,0,0,0.0,0,0,0,0.0,0.7242,Tinggi
Social Service (evening),39,8014,0,100.0,108.3,0,0,1,1,0,39,6,8,5,11.4,6,12,3,11.0,0.724,Tinggi
Nursing,39,9500,1,120.0,125.3,0,1,1,1,0,30,7,12,4,14.4,7,9,6,13.5,0.7237,Tinggi
Management,1,9147,1,135.0,126.3,0,0,1,1,0,18,5,11,2,13.5,5,11,3,12.333333333333334,0.7231,Tinggi
Equinculture,1,9130,1,117.0,109.3,1,0,1,0,0,20,5,10,4,12.5,5,12,2,13.0,0.723,Tinggi
Management,1,9147,1,130.0,118.8,0,1,1,1,1,22,5,8,5,10.666666666666666,5,11,2,11.0,0.7218,Tinggi
Informatics Engineering,17,9119,1,135.0,121.7,1,0,1,1,0,18,5,7,5,11.8,5,9,3,12.0,0.7202,Tinggi
Management (evening),39,9991,0,140.0,130.0,0,1,1,0,0,25,5,10,4,11.25,5,9,4,12.0,0.7194,Tinggi
Management (evening),39,9991,0,130.0,127.8,0,0,1,1,0,37,5,7,4,10.75,5,7,3,11.333333333333334,0.7192,Tinggi
Management (evening),39,9991,0,160.0,114.3,0,0,1,1,0,40,5,9,3,11.0,5,8,4,12.5,0.7168,Tinggi
Informatics Engineering,17,9119,1,139.0,133.1,1,0,1,1,0,18,5,8,4,12.5,5,7,3,14.666666666666666,0.7161,Tinggi
Communication Design,16,9070,1,145.0,146.1,1,0,1,0,0,18,6,6,1,15.0,6,7,4,12.5,0.7107,Tinggi
Basic Education,17,9853,1,141.0,130.2,1,0,1,0,0,19,6,8,5,11.4,6,7,4,10.75,0.7105,Tinggi
Veterinary Nursing,44,9085,1,140.0,140.0,1,0,1,0,0,20,6,11,5,14.2,6,12,2,13.5,0.7096,Tinggi
Management (evening),42,9991,0,130.0,130.0,0,0,1,1,0,27,2,2,2,12.5,5,6,2,12.5,0.7085,Tinggi
Journalism and Communication,43,9773,1,140.0,116.9,0,0,1,1,0,32,11,15,7,11.285714285714286,7,10,6,12.333333333333334,0.7023,Tinggi
Management (evening),51,9991,0,120.0,128.2,0,1,1,1,0,24,10,15,7,10.714285714285714,10,11,9,12.555555555555555,0.7022,Tinggi
Agronomy,53,9003,1,130.0,130.0,0,1,1,1,0,21,12,20,10,11.8,12,15,9,11.444444444444445,0.7019,Tinggi
Advertising and Marketing Management,17,9670,1,140.0,133.4,0,0,1,1,0,24,6,6,4,11.25,6,9,4,10.428571428571429,0.7015,Tinggi
Basic Education,5,9853,1,122.0,112.6,1,0,1,0,0,22,6,10,5,12.6,6,9,4,11.25,0.7009,Tinggi
Nursing,43,9500,1,130.0,103.7,0,0,1,0,0,38,8,12,5,13.126,8,12,5,13.126,0.6987,Tinggi
Management,7,9147,1,120.0,120.0,0,0,1,0,0,33,8,9,5,12.6,7,13,5,11.25,0.696,Tinggi
Management,42,9147,1,130.0,130.0,1,0,1,0,0,26,5,5,4,13.0,5,7,2,12.0,0.6921,Tinggi
Basic Education,1,9853,1,110.0,114.3,1,0,1,1,0,42,6,9,5,12.4,6,10,5,11.8,0.6911,Tinggi
Social Service (evening),39,8014,0,100.0,111.0,1,0,1,0,1,26,6,10,3,12.333333333333334,6,14,3,11.666666666666666,0.6899,Tinggi
Management,5,9147,1,126.0,117.3,1,0,1,0,0,19,5,15,3,10.8,5,6,3,10.5,0.6898,Tinggi
Advertising and Marketing Management,43,9670,1,132.0,120.5,0,0,1,1,0,19,6,17,4,12.5,6,8,4,13.25,0.6893,Tinggi
Social Service,1,9238,1,135.0,121.0,0,0,1,0,0,19,6,13,3,10.333333333333334,6,12,3,10.333333333333334,0.6892,Tinggi
Management,17,9147,1,120.0,113.4,0,0,1,0,0,20,5,11,3,10.333333333333334,5,10,3,10.666666666666666,0.6891,Tinggi
Management,17,9147,1,118.0,118.4,1,0,1,1,0,19,5,10,2,10.5,5,5,4,11.75,0.6885,Tinggi
Communication Design,53,9070,1,130.0,130.0,1,0,0,0,1,22,6,8,6,11.0,6,10,4,12.0,0.6884,Tinggi
Informatics Engineering,1,9119,1,131.0,126.8,0,0,0,1,1,18,5,6,5,12.2,5,8,4,12.0,0.6857,Tinggi
Agronomy,42,9003,1,140.0,140.0,1,0,1,1,0,25,6,14,5,11.666666666666666,6,11,4,12.0,0.6826,Tinggi
Basic Education,1,9853,1,160.0,146.0,1,0,1,0,0,19,6,11,3,10.333333333333334,6,10,5,11.8,0.682,Tinggi
Management (evening),39,9991,0,130.0,130.1,0,0,1,0,0,25,5,8,3,11.0,5,8,3,11.25,0.6817,Tinggi
Tourism,17,9254,1,121.0,123.1,1,0,1,1,0,21,6,11,6,11.166666666666666,6,14,3,14.666666666666666,0.6815,Tinggi
Communication Design,1,9070,1,132.0,136.6,1,0,1,1,0,19,6,7,5,11.4,6,10,3,11.0,0.6773,Tinggi
Basic Education,17,9853,1,150.0,132.5,1,0,1,0,0,22,6,9,4,12.25,6,8,5,11.6,0.676,Tinggi
Social Service,1,9238,1,135.0,121.7,1,0,1,0,1,18,6,14,0,0.0,6,9,4,11.0,0.6756,Tinggi
Social Service,1,9238,1,125.0,118.7,0,0,1,1,0,20,6,12,4,11.75,6,13,3,11.333333333333334,0.675,Tinggi
Animation and Multimedia Design,5,171,1,137.0,144.7,1,0,1,1,0,20,0,0,0,0.0,0,0,0,0.0,0.6747,Tinggi
Management (evening),39,9991,0,150.0,120.0,0,0,1,0,0,43,5,11,3,10.666666666666666,5,10,4,12.5,0.674,Tinggi
Agronomy,44,9003,1,140.0,140.0,0,0,1,0,0,19,6,18,3,11.666666666666666,6,14,4,11.5,0.672,Tinggi
Agronomy,44,9003,1,140.0,140.0,0,0,1,1,0,21,6,13,4,11.75,6,15,4,10.5,0.671,Tinggi
Journalism and Communication,1,9773,1,127.0,121.8,1,0,1,0,1,20,6,11,4,14.0,6,12,3,11.0,0.6706,Tinggi
Tourism,17,9254,1,127.0,123.5,1,0,1,0,1,20,6,11,4,11.5,6,12,3,11.0,0.6699,Tinggi
Management,17,9147,1,133.1,109.0,1,0,1,1,1,22,5,7,3,12.333333333333334,5,9,3,10.571428571428571,0.6692,Tinggi
Veterinary Nursing,1,9085,1,127.0,122.8,1,0,1,0,0,19,5,10,2,14.5,5,9,3,11.333333333333334,0.6689,Tinggi
Animation and Multimedia Design,43,171,1,144.0,121.6,0,0,1,1,0,22,0,0,0,0.0,0,0,0,0.0,0.6686,Tinggi
Veterinary Nursing,43,9085,1,127.0,100.0,0,0,1,0,0,21,6,11,4,11.75,6,12,3,13.666666666666666,0.667,Tinggi
Veterinary Nursing,1,9085,1,120.0,113.4,0,0,1,0,0,18,6,14,4,11.5,6,17,3,13.75,0.6667,Tinggi
Veterinary Nursing,1,9085,1,118.0,112.4,1,0,1,1,0,21,5,7,4,11.5,5,15,3,10.6,0.6657,Tinggi
Informatics Engineering,39,9119,1,120.0,146.8,0,0,1,1,0,25,5,6,5,14.2,5,5,2,13.5,0.6653,Tinggi
Management (evening),39,9991,0,120.0,170.0,0,0,1,0,0,34,5,12,2,11.5,5,9,4,11.75,0.6617,Tinggi
Basic Education,17,9853,1,125.0,116.6,1,0,0,0,1,18,7,7,7,12.285714285714286,7,8,6,13.333333333333334,0.6607,Tinggi
Animation and Multimedia Design,1,171,1,124.0,121.2,1,0,1,1,0,20,0,0,0,0.0,0,0,0,0.0,0.6597,Tinggi
Nursing,1,9500,1,124.0,117.5,1,0,1,1,0,19,8,10,5,12.858,8,10,5,12.858,0.6596,Tinggi
Informatics Engineering,15,9119,1,130.0,137.0,1,0,1,1,0,19,5,9,5,14.0,5,11,3,13.25,0.6577,Tinggi
Management,1,9147,1,122.0,116.4,0,0,1,1,0,21,5,10,3,11.25,5,9,3,11.0,0.6553,Tinggi
Veterinary Nursing,17,9085,1,130.0,121.3,1,0,1,0,0,21,5,14,2,13.0,5,8,4,12.0,0.6549,Tinggi
Management,18,9147,1,100.0,101.8,1,0,1,0,0,24,5,5,5,10.8,5,11,2,11.0,0.6545,Tinggi
Animation and Multimedia Design,1,171,1,124.0,118.4,1,0,1,1,0,18,0,0,0,0.0,0,0,0,0.0,0.6536,Tinggi
Nursing,1,9500,1,140.0,133.8,1,0,1,0,0,17,8,14,5,12.46,8,14,5,12.46,0.6526,Tinggi
Oral Hygiene,43,9556,1,147.0,100.0,0,0,1,0,0,18,2,2,0,0.0,4,4,1,16.0,0.6517,Tinggi
Social Service,1,9238,1,133.1,100.0,1,0,1,1,0,22,6,6,4,11.25,6,7,3,11.0,0.6504,Tinggi
Management,43,9147,1,123.0,110.0,0,0,1,1,0,25,5,12,3,11.0,5,12,4,11.5,0.6472,Tinggi
Animation and Multimedia Design,17,171,1,133.0,134.8,1,0,1,0,0,18,0,0,0,0.0,0,0,0,0.0,0.6463,Tinggi
Oral Hygiene,39,9556,1,130.0,159.0,1,0,1,0,0,25,7,11,7,11.857142857142858,8,21,5,11.7,0.6427,Tinggi
Journalism and Communication,1,9773,1,127.0,122.8,1,0,1,1,0,20,6,7,6,12.166666666666666,6,9,3,12.0,0.6404,Tinggi
Animation and Multimedia Design,17,171,1,125.0,143.9,1,0,1,0,0,20,0,0,0,0.0,0,0,0,0.0,0.6403,Tinggi
Veterinary Nursing,44,9085,1,150.0,150.0,1,0,1,0,0,19,5,10,1,13.0,5,8,3,15.333333333333334,0.64,Tinggi
Animation and Multimedia Design,17,171,1,137.0,143.3,1,0,1,0,0,18,0,0,0,0.0,0,0,0,0.0,0.6393,Tinggi
Management,18,9147,1,115.0,108.7,1,0,1,0,0,21,5,8,3,12.0,5,9,3,12.666666666666666,0.6392,Tinggi
Social Service,17,9238,1,154.0,140.4,1,0,1,0,1,20,6,13,2,10.0,6,12,4,10.75,0.6356,Tinggi
Veterinary Nursing,1,9085,1,126.0,123.9,1,0,1,0,0,19,6,13,4,11.8,6,18,4,12.2,0.6345,Tinggi
Nursing,42,9500,1,100.0,153.0,0,0,1,1,0,22,6,7,3,14.5,7,8,4,14.375,0.6343,Tinggi
Animation and Multimedia Design,1,171,1,127.0,133.5,1,0,1,1,0,17,0,0,0,0.0,0,0,0,0.0,0.6339,Tinggi
Animation and Multimedia Design,1,171,1,134.0,141.7,1,0,1,1,0,18,0,0,0,0.0,0,0,0,0.0,0.6338,Tinggi
Management,17,9147,1,112.0,107.8,1,0,1,0,0,19,5,7,3,10.333333333333334,5,11,3,14.428571428571429,0.6328,Tinggi
Management (evening),39,9991,0,130.0,145.6,0,0,1,1,0,34,5,10,4,11.75,5,10,4,10.833333333333334,0.6301,Tinggi
Management,39,9147,1,133.1,134.8,0,0,1,0,0,24,5,12,2,10.5,5,9,4,10.0,0.6281,Tinggi
Journalism and Communication,1,9773,1,122.0,126.9,1,0,1,0,1,19,6,11,4,11.0,6,11,3,11.666666666666666,0.6279,Tinggi
Informatics Engineering,1,9119,1,126.0,122.5,1,0,1,1,0,20,5,7,5,10.8,5,9,3,12.0,0.6267,Tinggi
Informatics Engineering,17,9119,1,126.0,122.9,1,0,1,1,0,21,5,10,4,13.2,5,7,4,14.25,0.6265,Tinggi
Veterinary Nursing,44,9085,1,150.0,150.0,0,0,1,0,0,20,6,8,6,13.0,6,18,2,12.0,0.6264,Tinggi
Management,1,9147,1,129.0,121.0,1,0,1,0,0,18,5,8,2,10.5,5,7,3,12.333333333333334,0.6246,Tinggi
Social Service (evening),43,8014,0,148.0,134.7,0,0,1,0,0,23,13,15,9,11.0,11,12,7,11.571428571428571,0.6201,Tinggi
Nursing,43,9500,1,127.0,121.1,0,0,1,0,1,18,7,11,5,12.16,7,7,2,13.4,0.6185,Tinggi
Communication Design,17,9070,1,152.0,134.2,1,0,1,1,0,20,6,7,5,11.8,6,9,4,12.0,0.6167,Tinggi
Management,43,9147,1,142.0,115.0,0,0,1,0,0,19,5,11,5,11.5,5,9,2,10.666666666666666,0.6154,Tinggi
Basic Education,18,9853,1,133.1,106.0,1,1,1,0,0,21,7,7,7,13.0,7,8,6,12.5,0.6145,Tinggi
Advertising and Marketing Management,43,9670,1,141.0,133.3,1,0,1,1,0,18,6,13,4,13.75,6,8,5,11.2,0.6139,Tinggi
Veterinary Nursing,39,9085,1,133.1,148.2,1,1,1,0,0,27,6,11,6,12.125,6,16,5,12.0,0.6139,Tinggi
Management,1,9147,1,113.0,107.4,1,0,1,1,0,20,5,12,3,10.5,5,10,4,11.25,0.6136,Tinggi
Basic Education,1,9853,1,117.0,109.7,1,0,1,0,0,19,6,9,5,12.2,6,10,4,13.0,0.6121,Tinggi
Management,17,9147,1,126.0,116.9,0,0,1,1,1,19,5,12,3,11.666666666666666,5,10,3,11.666666666666666,0.6088,Tinggi
Social Service,1,9238,1,125.0,114.9,1,1,1,0,1,19,6,9,5,11.4,6,9,3,10.0,0.6076,Tinggi
Management,43,9147,1,131.0,126.1,0,0,1,0,0,18,5,5,0,0.0,5,9,4,13.25,0.6057,Tinggi
Management,1,9147,1,130.0,117.8,0,0,1,0,0,18,5,8,2,10.0,5,9,3,11.333333333333334,0.6047,Tinggi
Veterinary Nursing,17,9085,1,138.0,123.3,1,0,1,0,0,19,5,15,3,14.0,5,10,4,11.75,0.6033,Tinggi
Animation and Multimedia Design,17,171,1,133.0,126.0,1,0,1,1,1,19,0,0,0,0.0,0,0,0,0.0,0.5976,Tinggi
Management (evening),39,9991,0,133.1,150.0,0,0,1,1,0,47,5,8,4,10.0,5,8,4,12.5,0.5968,Tinggi
Basic Education,17,9853,1,126.0,126.0,1,0,1,0,0,19,6,9,5,13.0,6,8,5,10.4,0.5967,Tinggi
Animation and Multimedia Design,17,171,1,144.0,129.3,1,0,1,1,1,18,0,0,0,0.0,0,0,0,0.0,0.5962,Tinggi
Agronomy,44,9003,1,130.0,130.0,0,0,1,1,0,20,6,12,4,10.8,6,13,4,12.0,0.5959,Tinggi
Social Service,1,9238,1,125.0,122.6,1,0,1,0,0,18,6,9,5,11.833333333333334,6,8,2,11.5,0.595,Tinggi
Social Service,1,9238,1,157.0,136.7,1,0,1,0,0,22,6,11,4,12.5,6,13,3,13.666666666666666,0.5919,Tinggi
Animation and Multimedia Design,44,171,1,140.0,140.0,0,0,1,1,0,21,0,0,0,0.0,0,0,0,0.0,0.5916,Tinggi
Nursing,39,9500,1,150.0,140.0,0,0,1,0,0,26,7,11,5,11.2,8,13,5,12.14,0.5892,Tinggi
Management,1,9147,1,128.0,120.3,0,0,1,1,0,19,5,9,5,10.8,5,13,2,13.5,0.5891,Tinggi
Veterinary Nursing,17,9085,1,123.0,118.9,0,0,1,1,0,18,5,5,3,14.0,5,7,3,12.666666666666666,0.584,Tinggi
Management,17,9147,1,112.0,112.0,1,0,1,0,0,20,5,10,3,10.333333333333334,5,9,4,11.0,0.5828,Tinggi
Basic Education,17,9853,1,112.0,106.1,1,0,1,0,0,19,6,8,5,12.333333333333334,6,8,5,11.0,0.5828,Tinggi
Basic Education,17,9853,1,114.0,108.8,1,0,1,0,0,18,7,11,5,11.4,7,9,6,13.333333333333334,0.5796,Tinggi
Basic Education,17,9853,1,134.0,122.5,1,0,1,0,0,22,6,10,5,13.166666666666666,6,8,5,12.4,0.5794,Tinggi
Management,1,9147,1,117.0,118.4,0,0,1,1,0,20,5,8,5,10.0,5,10,2,12.0,0.5772,Tinggi
Veterinary Nursing,44,9085,1,130.0,130.0,1,0,1,0,0,20,6,13,5,11.8,6,19,4,12.0,0.5766,Tinggi
Management,17,9147,1,123.0,115.3,1,0,1,0,1,18,5,9,3,13.0,5,11,3,11.0,0.5765,Tinggi
Social Service,43,9238,1,110.0,110.0,0,0,1,0,0,36,16,24,13,10.692307692307692,13,19,9,12.307692307692308,0.5757,Tinggi
Tourism,17,9254,1,115.0,109.8,1,0,1,0,0,19,6,8,4,11.25,6,8,4,12.0,0.5751,Tinggi
Management (evening),39,9991,0,150.0,146.2,0,0,1,0,0,30,5,11,3,10.333333333333334,5,10,4,12.8,0.5743,Tinggi
Informatics Engineering,15,9119,1,133.1,100.0,0,1,1,1,0,24,8,8,7,13.142857142857142,6,8,6,11.833333333333334,0.5739,Tinggi
Veterinary Nursing,39,9085,1,130.0,120.0,0,0,0,0,0,26,6,8,6,15.428571428571429,6,7,5,14.5,0.5731,Tinggi
Basic Education,1,9853,1,133.0,126.7,1,0,1,0,0,18,6,9,5,11.833333333333334,6,6,4,12.0,0.5717,Tinggi
Equinculture,17,9130,1,137.0,130.0,1,0,1,0,0,21,6,12,5,13.6,6,10,4,14.25,0.5712,Tinggi
Advertising and Marketing Management,1,9670,1,119.0,115.5,1,0,1,0,0,19,6,8,4,11.0,6,9,4,11.0,0.5705,Tinggi
Management,1,9147,1,134.0,134.7,0,0,1,1,0,22,5,10,4,11.75,5,10,3,11.0,0.5699,Tinggi
Tourism,17,9254,1,118.0,121.2,0,0,1,1,1,18,6,12,3,10.666666666666666,6,9,4,12.0,0.5678,Tinggi
Management (evening),43,9991,0,140.0,117.3,0,0,1,0,0,28,10,15,6,10.666666666666666,10,17,9,11.333333333333334,0.5648,Tinggi
Veterinary Nursing,43,9085,1,170.0,170.0,1,0,1,0,0,19,5,5,0,0.0,5,7,4,14.75,0.5647,Tinggi
Agronomy,39,9003,1,140.0,135.4,1,0,1,0,0,24,6,10,5,11.8,6,13,4,11.25,0.5641,Tinggi
Communication Design,51,9070,1,133.1,106.6,0,1,1,0,0,31,6,8,5,11.0,6,12,6,10.166666666666666,0.5622,Tinggi
Communication Design,43,9070,1,160.0,100.0,0,0,1,1,0,38,6,9,5,16.0,6,11,4,16.5,0.5616,Tinggi
Advertising and Marketing Management,1,9670,1,120.0,111.3,1,0,1,1,0,19,5,7,3,11.333333333333334,5,7,4,11.0,0.5614,Tinggi
Advertising and Marketing Management,43,9670,1,151.0,100.0,0,1,1,0,0,20,6,12,5,12.2,6,8,5,14.6,0.5596,Tinggi
Social Service (evening),43,8014,0,133.1,106.0,1,0,1,0,0,48,6,9,5,13.0,6,10,4,12.5,0.5594,Tinggi
Animation and Multimedia Design,1,171,1,125.0,115.2,1,0,1,0,0,18,0,0,0,0.0,0,0,0,0.0,0.559,Tinggi
Animation and Multimedia Design,1,171,1,136.0,121.7,1,0,1,0,0,18,0,0,0,0.0,0,0,0,0.0,0.5587,Tinggi
Nursing,39,9500,1,133.1,109.0,1,0,1,0,0,39,7,8,5,12.16,7,8,5,12.16,0.5561,Tinggi
Agronomy,53,9003,1,130.0,130.0,1,1,1,1,0,20,12,16,11,12.545454545454543,10,12,8,11.625,0.5543,Tinggi
Veterinary Nursing,17,9085,1,123.0,113.6,1,0,1,0,0,19,5,13,3,12.0,5,8,4,11.75,0.5539,Tinggi
Tourism,44,9254,1,170.0,170.0,0,0,0,1,0,26,8,14,8,15.125,6,12,6,13.666666666666666,0.5531,Tinggi
Social Service,17,9238,1,126.0,116.9,1,0,1,0,0,21,6,11,6,10.375,6,12,3,11.666666666666666,0.5519,Tinggi
Advertising and Marketing Management,17,9670,1,123.0,122.0,0,1,1,1,0,19,6,7,6,13.166666666666666,6,9,5,13.2,0.5508,Tinggi
Advertising and Marketing Management,17,9670,1,155.0,134.7,1,0,1,0,0,20,6,8,5,13.4,6,10,4,13.0,0.5507,Tinggi
Veterinary Nursing,44,9085,1,150.0,150.0,1,0,1,0,0,23,6,11,4,11.5,6,12,4,12.2,0.5506,Tinggi
Management,17,9147,1,129.0,128.3,1,0,1,0,0,19,5,10,3,11.0,5,9,4,11.75,0.5495,Tinggi
Veterinary Nursing,5,9085,1,141.0,128.8,1,0,1,0,0,19,5,9,3,10.333333333333334,5,8,3,13.0,0.5476,Tinggi
Veterinary Nursing,1,9085,1,130.0,129.0,0,0,1,0,0,20,5,7,4,11.75,5,9,2,10.5,0.5476,Tinggi
Management,17,9147,1,110.0,99.0,0,0,1,1,0,21,5,5,5,11.0,5,11,3,11.428571428571429,0.5472,Tinggi
Social Service (evening),39,8014,0,120.0,106.8,0,0,1,0,0,49,6,9,5,12.333333333333334,6,12,4,11.5,0.5453,Tinggi
Nursing,15,9500,1,190.0,190.0,1,0,1,0,0,18,7,15,4,11.575,7,10,5,12.419999999999998,0.5444,Tinggi
Social Service,1,9238,1,107.0,103.5,1,0,1,0,0,20,6,13,3,11.2,6,9,4,12.0,0.5425,Tinggi
Animation and Multimedia Design,1,171,1,131.0,132.8,1,0,1,0,0,18,0,0,0,0.0,0,0,0,0.0,0.5418,Tinggi
Animation and Multimedia Design,1,171,1,140.0,138.3,1,0,1,0,0,18,0,0,0,0.0,0,0,0,0.0,0.5414,Tinggi
Advertising and Marketing Management,1,9670,1,119.0,119.7,1,0,1,0,0,20,5,6,3,13.0,5,7,3,13.0,0.5408,Tinggi
Management (evening),39,9991,0,120.0,123.2,0,0,1,0,0,27,5,9,3,10.666666666666666,5,7,4,11.4,0.5396,Tinggi
Veterinary Nursing,39,9085,1,130.0,130.0,1,0,1,0,0,28,5,13,4,11.25,5,11,4,10.5,0.5391,Tinggi
Social Service,17,9238,1,132.0,123.6,1,0,1,0,0,18,6,9,4,11.5,6,10,4,10.75,0.539,Tinggi
Animation and Multimedia Design,1,171,1,147.0,145.3,1,0,1,0,0,18,0,0,0,0.0,0,0,0,0.0,0.5377,Tinggi
Veterinary Nursing,44,9085,1,140.0,140.0,0,0,1,0,0,20,6,9,6,12.666666666666666,6,12,2,13.0,0.5368,Tinggi
Veterinary Nursing,44,9085,1,140.0,140.0,1,0,1,0,0,19,6,10,5,12.666666666666666,6,19,4,11.75,0.5366,Tinggi
Management,51,9147,1,130.0,115.7,0,0,1,1,0,20,5,7,5,11.0,5,7,3,10.0,0.5341,Tinggi
